Employee,Station,Period 1,Period 2,Period 3,Period 4,Total
Aaron,BW070,0,0,0,61,61
Aaron,H110/H120,0,61,0,0,61
Aaron,H170,0,0,61,0,61
Aaron,Parts Wash,61,0,0,0,61
Aaron,Totals,61,61,61,61,244
Antonio,BW010,0,61,0,0,61
Antonio,BW070,61,0,0,0,61
Antonio,H080/H090,0,0,0,61,61
Antonio,Totals,61,61,0,61,183
Brian,H080/H090,61,0,0,0,61
Brian,H110/H120,0,0,0,61,61
Brian,M050,0,0,61,0,61
Brian,Totals,61,0,61,61,183
Chyla,BW010,61,0,0,0,61
Chyla,H080/H090,0,0,61,0,61
Chyla,M090,0,0,0,61,61
Chyla,Totals,61,0,61,61,183
Derrick Young,DO001,0,0,1,0,1
Derrick Young,DO002,1,1,0,0,2
Derrick Young,DO003,0,0,0,1,1
Derrick Young,Totals,1,1,1,1,4
Fab,BW010,0,0,61,0,61
Fab,H100,0,61,0,0,61
Fab,M050,61,0,0,0,61
Fab,Totals,61,61,61,0,183
Kaden,BW070,0,0,61,0,61
Kaden,H170,0,0,0,61,61
Kaden,M090,0,61,0,0,61
Kaden,Totals,0,61,61,61,183
Lauren Ford,DO002,0,0,1,0,1
Lauren Ford,Totals,0,0,1,0,1
Luke,BW070,0,61,0,0,61
Luke,H010,0,0,0,61,61
Luke,H100,0,0,61,0,61
Luke,H170,61,0,0,0,61
Luke,Totals,61,61,61,61,244
Matt,H010,0,0,61,0,61
Matt,H080/H090,0,61,0,0,61
Matt,M090,61,0,0,0,61
Matt,Totals,61,61,61,0,183
Rachael,BW010,0,0,0,61,61
Rachael,H010,61,0,0,0,61
Rachael,H110/H120,0,0,61,0,61
Rachael,M050,0,61,0,0,61
Rachael,Totals,61,61,61,61,244
Ray,H100,61,0,0,0,61
Ray,H170,0,61,0,0,61
Ray,M050,0,0,0,61,61
Ray,Totals,61,61,0,61,183
Robert Hayden,DO001,0,0,0,1,1
Robert Hayden,DO003,0,0,1,0,1
Robert Hayden,Totals,0,0,1,1,2
Ronald Frank,DO001,0,1,0,0,1
Ronald Frank,DO002,0,0,0,1,1
Ronald Frank,DO003,1,0,0,0,1
Ronald Frank,Totals,1,1,0,1,3
Sarah Martinez,DO001,1,0,0,0,1
Sarah Martinez,DO003,0,1,0,0,1
Sarah Martinez,Totals,1,1,0,0,2
Taje,H010,0,61,0,0,61
Taje,H100,0,0,0,61,61
Taje,H110/H120,61,0,0,0,61
Taje,M090,0,0,61,0,61
Taje,Totals,61,61,61,61,244
